                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6761,                 4.3273,                 4.5438,                 1.5575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2561,                 3.6764,                 4.4455,                  1.224,              5.454e-05,              5.454e-05,              5.454e-05
                      2,                 2.2647,                 3.7964,                 4.4172,                 1.2626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3933,                 3.6018,                 4.4985,                 1.2242,             0.00011583,             0.00011583,             0.00011583
                      3,                 1.9856,                 3.4484,                  4.239,                 1.1229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.1206,                  3.471,                 4.4646,                 1.1418,              0.0001746,              0.0001746,              0.0001746
                      4,                 1.8409,                 3.2928,                 4.1311,                 1.0664,                0.00043,                0.01045,                0.00097,                0.00028,                0.00043,                0.01045,                0.00031,                0.00018,                 1.8172,                 3.3181,                 4.4107,                 1.0403,             0.00023085,             0.00023085,             0.00023085
                      5,                 1.6998,                 3.0694,                 3.9983,                 1.0527,                0.00127,                0.03136,                0.00416,                0.00245,                0.00127,                0.03136,                0.00416,                0.00238,                 1.8143,                 3.4123,                 4.3881,                 1.0267,             0.00028458,             0.00028458,             0.00028458
                      6,                 1.6904,                 2.9427,                 3.9015,                 1.0183,                0.00174,                0.04181,                0.00982,                0.00392,                0.00174,                0.04181,                0.01023,                0.00462,                 1.8316,                  3.254,                 4.3898,                 1.0065,             0.00033579,             0.00033579,             0.00033579
                      7,                 1.7695,                 3.0344,                 3.8074,                 1.0298,                0.00628,                 0.0453,                 0.0143,                0.00616,                0.01521,                0.05226,                0.01611,                0.00676,                 1.8252,                 3.2582,                  4.383,                 1.0089,             0.00038449,             0.00038449,             0.00038449
                      8,                 1.6822,                 2.8881,                 3.6936,                 1.0022,                0.00747,                0.05923,                0.01967,                0.00798,                0.01132,                0.05226,                0.01878,                0.00649,                  1.669,                 3.2437,                 4.3625,                0.98737,             0.00043066,             0.00043066,             0.00043066
                      9,                 1.7099,                 3.0018,                 3.6114,                 1.0251,                0.00733,                0.05575,                0.01922,                0.00708,                0.00897,                0.04181,                0.01792,                0.00574,                 1.5996,                 3.1223,                 4.3512,                0.96281,             0.00047431,             0.00047431,             0.00047431
                     10,                 1.7543,                 2.9486,                 3.5109,                 1.0157,                 0.0044,                0.04878,                 0.0163,                0.00611,                0.00313,                0.04181,                 0.0139,                0.00538,                  1.577,                   3.11,                 4.3377,                0.94673,             0.00051544,             0.00051544,             0.00051544
                     11,                 1.7016,                 2.9808,                 3.4397,                 1.0031,                0.00512,                0.05226,                0.02475,                0.01187,                0.00577,                 0.0662,                 0.0222,                 0.0113,                 1.5825,                 3.1176,                 4.2342,                0.94986,             0.00055405,             0.00055405,             0.00055405
