                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.334,                 4.1067,                 4.1324,                 1.2843,                0.00065,                 0.0662,                0.00178,                0.00048,                  3e-05,                0.00348,                  2e-05,                      0,                  2.497,                 30.629,                 4.1847,                 1.4198,                 0.0946,                 0.0006,                 0.0006
                      2,                 2.2292,                 3.7028,                  3.497,                 1.1801,                0.00075,                0.07666,                 0.0078,                0.00175,                 0.0001,                0.01045,                 0.0001,                  2e-05,                 2.2602,                 21.645,                 4.0949,                  1.407,               0.088294,              0.0012936,              0.0012936
                      3,                 2.0214,                 3.6074,                 3.0593,                 1.1432,                0.00075,                0.07666,                0.00623,                0.00229,                0.00027,                0.02787,                0.00057,                0.00025,                 2.1232,                  20.05,                 4.0218,                 1.3371,                0.08198,              0.0019802,              0.0019802
                      4,                  1.961,                 3.5032,                 2.8467,                 1.1408,                0.00078,                 0.0453,                0.00877,                0.00338,                 0.0006,                0.03484,                0.00397,                0.00112,                 2.1521,                 14.622,                 4.0137,                 1.4168,                0.07566,              0.0026599,              0.0026599
                      5,                 1.8677,                 3.4133,                  2.701,                 1.1534,                0.04794,                0.02439,                0.02713,                0.01355,                0.04788,                0.02091,                 0.0271,                0.00282,                 2.5564,                 14.792,                 4.1738,                 1.6429,               0.069333,              0.0033327,              0.0033327
                      6,                 1.8173,                   3.18,                 2.4582,                  1.116,                0.00018,                0.01045,                0.00028,                0.00015,                0.00012,                0.00697,                0.00025,                0.00012,                 2.3329,                  14.05,                  4.128,                 1.6419,               0.062999,              0.0039985,              0.0039985
                      7,                 1.8515,                  3.292,                 2.4321,                 1.1076,                0.00018,                0.01045,                0.00028,                0.00015,                0.00012,                0.00697,                0.00025,                0.00012,                 2.5764,                 16.001,                 4.1627,                  1.929,               0.056657,              0.0046574,              0.0046574
                      8,                 1.8511,                 3.1393,                 2.2701,                 1.1059,                0.00018,                0.01045,                0.00028,                0.00015,                0.00012,                0.00697,                0.00025,                0.00012,                 2.4856,                 14.349,                 4.2167,                 1.9098,               0.050309,              0.0053094,              0.0053094
                      9,                 1.9374,                 3.3644,                 2.2485,                 1.1644,                0.00028,                0.00697,                0.00015,                  7e-05,                0.00028,                0.00697,                0.00015,                  7e-05,                 2.5501,                 9.3197,                 4.1514,                 1.8525,               0.043954,              0.0059545,              0.0059545
                     10,                 1.9704,                 3.2719,                 2.1798,                 1.1489,                0.00044,                0.00348,                 0.0003,                  9e-05,                0.00044,                0.00348,                 0.0003,                0.00012,                 4.1164,                 35.258,                 4.5498,                 2.5766,               0.037593,              0.0065926,              0.0065926
